,problems,options
0,有關護理教育在促進護理專業持續發展的現況敘述，下列何者錯誤？,"['護理教育需要因應社會政策和醫療照護型態的轉變而調整', '護理科系學生也需要學習新科技以便勝任未來的社會需求', '現今護理教育應逐漸走向師徒制，以提供教學內容為導向的學習', '護理教育不但重視知識和技術，專業倫理與社會正義的培養同等重要']"
1,孕婦懷孕6個月，近日感覺會陰部極癢，且陰道有黃色分泌物流出，自我沖洗外陰部後，仍舊感到難以忍受，因此決定尋求婦產科醫師診治，依馬斯洛（Maslow）的五大需求階層理論，此時孕婦最需滿足的需求是：,"['生理需求 ', '安全需求 ', '愛及歸屬需求 ', '自尊需求']"
2,手術室刷手的操作，應符合那些標準？①內科無菌 ②外科無菌 ③手應高舉至肩上 ④掌部應高於肘部,"['①③ ', '①④ ', '②③ ', '②④']"
3,醫院出現火災時，緊急應變守則可遵循RACE原則，下列措施何者錯誤？,"['將病人撤離疏散 ', '通報以及啟動警報器', '關閉氧氣與電器設備並打開門窗 ', '油類及電氣火災，可先使用乾粉滅火器滅火']"
4,劉先生對護理人員抱怨說：「我受夠了每天做那麼多復健，醫生來看我的次數又那麼少，我很不滿」，下列何者為最合宜的回應？,"['「我會請醫生把復健次數減少些，這樣好嗎？」', '「聽起來您很生氣，可以再具體多講一點嗎？」', '「我會再請醫生每天多來看您幾次！」', '「醫生是照您的疾病需要，才會安排復健啊！」']"
5,護理師首次照護王先生，先查閱其病歷資料，進入病室後向王先生自我介紹，隨後運用會談方式了解其昨天晚上睡不好的原因，並提供情緒的安撫。王先生感謝地說：「謝謝您這麼關心我，我現在感覺好多了。」有關治療性人際關係過程的敘述，下列何者錯誤？,"['先查閱病歷資料以了解王先生健康狀況，為介紹前期（互動前期）階段', '向王先生自我介紹，為認識期（介紹期）階段', '運用會談方式了解睡不好的原因並提供情緒安撫，為工作期階段', '王先生對護理師的感謝，為結束期階段']"
6,有關病歷保存與管理的敘述，下列何者錯誤？,"['病歷內容未經病人、主治醫師許可，不得將病情洩漏', '病人想要了解病情及預後，需由主治醫師說明', '住院期間，方便醫師查房可先將病歷放在病人單位', '依據醫療法及護理人員法，成年人病歷至少保存7年']"
7,有關護理目標的訂定，下列何者最具體？,"['3/15協助病人下床活動 ', '3/15病人使用止痛藥後疼痛緩解', '3/15病人能增加纖維質的攝取量 ', '3/15病人能說出三種以上富含鐵質的食物']"
8,下列護理評估資料的型態，何者屬於客觀資料（objective data ）？,"['病人主訴：「肚子痛的時間約持續5分鐘」', '病人肌力檢查：右側下肢肌肉力量3分', '病人抱怨昨天夜裡醒來3次 ', '個案母親說病人昨天傷口滲出許多血水', '抗組織胺類藥物配合葡萄柚汁服用，不會影響藥物在肝臟之代謝', '含鈣及鐵離子的藥物若與牛奶併服，容易抑制藥物的吸收']"
9,執行肌肉注射時，下列措施何者正確？,"['針頭插入時，動作宜迅速，以減輕疼痛', '針頭拔出時，動作宜緩慢，以減少刺激', '推藥物進入組織時，動作宜迅速，以縮短注射時間', '選擇管徑大針頭，使藥物可迅速推入組織減少疼痛']"
